option,salient event,num_goal_hits,num_on_policy_goal_hits,num_executions,success_rate
goal_option_138,RRT Salient Episode 2762,0,0,6,0.0
option_86_0,,9,1,5,0.2
goal_option_139,RRT Salient Episode 2843,0,0,4,0.0
goal_option_140,RRT Salient Episode 2844,4,0,0,1.0
goal_option_141,RRT Salient Episode 2855,0,0,4,0.0
goal_option_142,RRT Salient Episode 2896,0,0,2,0.0
option_100_0,,11,3,10,0.3
goal_option_143,RRT Salient Episode 2917,0,0,3,0.0
option_83_0,,8,0,0,1.0
goal_option_144,RRT Salient Episode 2968,1,0,0,1.0
